Date,Not indexed,Indexed,Impressions
2026-05-20,,,131
2026-05-21,,,71
2026-05-22,100,43,72
2026-05-23,100,43,39
2026-05-24,100,43,93
2026-05-25,100,43,65
2026-05-26,96,43,28
2026-05-27,96,43,41
2026-05-28,96,43,38
2026-05-29,96,43,38
2026-05-30,85,43,22
2026-05-31,85,43,48
2026-06-01,85,43,65
2026-06-02,80,43,140
2026-06-03,80,43,170
2026-06-04,80,43,115
2026-06-05,80,43,106
2026-06-06,81,43,39
2026-06-07,81,43,49
2026-06-08,81,43,87
2026-06-09,79,43,85
2026-06-10,79,43,78
2026-06-11,79,43,101
2026-06-12,79,43,113
2026-06-13,73,47,52
2026-06-14,73,47,49
2026-06-15,73,47,90
2026-06-16,73,47,156
2026-06-17,73,47,151
2026-06-18,73,47,112
2026-06-19,73,47,73
2026-06-20,73,47,51
2026-06-21,73,47,48
2026-06-22,73,47,147
2026-06-23,73,47,103
2026-06-24,73,47,130
2026-06-25,73,47,102
2026-06-26,73,47,62
2026-06-27,73,47,45
2026-06-28,73,47,42
2026-06-29,73,47,91
2026-06-30,73,47,122
2026-07-01,78,46,113
2026-07-02,78,46,104
2026-07-03,78,46,89
2026-07-04,78,46,46
2026-07-05,78,46,43
2026-07-06,78,46,120
2026-07-07,78,46,122
2026-07-08,78,46,75
2026-07-09,78,46,66
2026-07-10,78,46,112
2026-07-11,83,45,146
2026-07-12,83,45,75
2026-07-13,83,45,143
2026-07-14,83,45,81
2026-07-15,83,45,61
2026-07-16,83,45,62
2026-07-17,83,45,69
2026-07-18,83,45,58
2026-07-19,83,45,27
2026-07-20,83,45,71
2026-07-21,83,45,50
2026-07-22,83,45,98
2026-07-23,83,45,60
2026-07-24,83,45,70
2026-07-25,83,45,22
2026-07-26,83,45,34
2026-07-27,83,45,78
2026-07-28,83,45,92
2026-07-29,83,45,82
2026-07-30,83,45,106
2026-07-31,83,45,53
2026-08-01,83,45,34
2026-08-02,83,45,67
2026-08-03,83,45,55
2026-08-04,83,45,60
2026-08-05,83,45,45
2026-08-06,85,44,59
2026-08-07,85,44,44
2026-08-08,83,44,35
2026-08-09,83,44,36
2026-08-10,83,44,97
2026-08-11,81,44,161
2026-08-12,81,44,110
2026-08-13,81,44,79
2026-08-14,81,44,57
